,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Component ID,Degree,Eccentricity,Ego Network,Eigenvector Centrality,Harmonic Closeness Centrality,In-Degree,Modularity Class,Out-Degree,PageRank,Strongly-Connected ID,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,b,dedicator,g,label,lang-af,lang-ar,lang-ast,lang-az,lang-be,lang-be-tarask,lang-bg,lang-bs,lang-ca,lang-ckb,lang-cs,lang-da,lang-de,lang-el,lang-en,lang-eo,lang-es,lang-et,lang-eu,lang-fa,lang-fi,lang-fr,lang-gl,lang-he,lang-hr,lang-hu,lang-hy,lang-ia,lang-id,lang-io,lang-is,lang-it,lang-ja,lang-jv,lang-ka,lang-kk,lang-ko,lang-ku,lang-la,lang-li,lang-lt,lang-lv,lang-mk,lang-ml,lang-nl,lang-nn,lang-no,lang-oc,lang-pa,lang-pl,lang-pt,lang-ro,lang-ru,lang-sco,lang-sh,lang-simple,lang-sk,lang-sl,lang-sr,lang-sv,lang-sw,lang-ta,lang-th,lang-tl,lang-tr,lang-uk,lang-vi,lang-yo,lang-zh,r,size,wiki degree,x,y
Q712288,0.0,0.3421424533634822,0.8333333134651184,0,4,5.0,1,0.0,0.3518243150213498,0,0,4,0.00024142417580897478,2186,12.0,0.0,12.0,255,1,137,Paulin J. Hountondji,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,4,974.8822,811.78076
Q7323585,0.0,0.34526015680684247,0.30000001192092896,0,6,5.0,1,0.0,0.356564822460785,0,0,6,0.00024142417580897478,2277,6.0,0.0,6.0,255,1,137,Richard A. Macksey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,1,55.64787,-1438.8112
Q733125,0.0,0.0,0.0,0,2,0.0,0,0.0030987476372109275,0.0,2,4,0,0.0002742043921361973,1464,2.0,2.0,0.0,255,1,89,Eugène Guillevic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,64.0,2,-3155.7502,1683.9293
Q733295,0.0,0.0,0.190476194024086,0,7,0.0,0,0.021625886258728556,0.0,7,6,0,0.000337942563593632,167,18.0,18.0,0.0,255,1,196,Jacques Dupin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,4,-1268.0914,2084.9802
Q76357,0.0051216590203601335,0.3804433265209873,0.03135643154382706,0,151,5.0,1,0.25893218606214274,0.41085399449037013,56,5,95,0.0018557594697921587,2038,1297.0,376.0,921.0,148,1,189,Jürgen Habermas,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,64.0,53,1136.4066,1442.0276
Q778757,0.0,0.0,0.5,0,2,0.0,0,0.005010703787341505,0.0,2,0,0,0.0002767948829903356,1095,6.0,6.0,0.0,255,1,137,Roger Munier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,2,124.689545,2422.9587
Q956276,0.0,0.0,0.3333333432674408,0,3,0.0,0,0.007525746069426049,0.0,3,4,0,0.0002978344281081846,171,4.0,4.0,0.0,255,1,89,Michel Chaillou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,64.0,1,-1553.4023,1692.0631
Q982044,0.0,0.34238438693254136,0.20000000298023224,0,5,5.0,1,0.0,0.3526159988985359,0,1,5,0.00024142417580897478,2287,11.0,0.0,11.0,0,1,192,Henry Bauchau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,64.0,3,-476.58902,1079.2014
Q983648,1.1162568589374339e-05,0.34017430418892325,0.19696970283985138,0,13,5.0,1,0.0254535851731239,0.3495798898071708,7,5,6,0.00040897255706726055,2038,17.0,11.0,6.0,148,1,189,Kostas Axelos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,4,617.46454,2471.6558
Q994115,0.0007098339920484452,0.34835180653519504,0.07859848439693451,0,35,6.0,1,0.11733996842513292,0.3622107438016628,19,4,16,0.0007723437827027705,2038,85.0,40.0,45.0,255,1,89,Michel Deguy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,64.0,8,-999.95435,1861.5713
